egoodsid,q30,allcomments,rank,rank7,rank14,rank30,rank60,brandtag,currentprice,allcommentschange,c1,c26,c28,c30,c34,c45,agg1,agg2,agg3,agg4,agg5,agg7,agg8,is_promo,goodsid,categoryid,ecatid,goodsname,goodsattribute,goodsstatus,updatetime,promotioninfo,crawlerdate,fenlei,is_in_stock,platform_brand_key,master_brand_key,positive_comment_num,medium_comment_num,negative_comment_num,rating_score,goods_inventory,shangpinmingcheng,agg17,agg13,agg14,agg15,agg16,Brand_CN,Brand_EN,JD_Code,agg9,agg10,agg11,agg12,feat01,featagg01,feat02,featagg02,feat03,featagg03,feat04,featagg04,feat05,featagg05,feat06,featagg06,feat07,featagg07,feat08,featagg08,featagg013,featagg023,featagg033,featagg043,featagg053,featagg063,featagg073,featagg083
283817,1820.142857,7168.0,19.0,25.0,21.0,21.0,25.0,REXONA/舒耐,25.0,False,0.0,359.0,388.0,421.0,482.0,665.0,2672,18,18163.0,449,350,1,1,1.0,AF3ED7DDE018FD35993D13E5BD3AB0AD,30010302,"1316,1383,1404",【京东超市】舒耐(REXONA)男士抑汗清新走珠乳液 酷爽冰激40ml(新老包装随机发放),"{""商品名称"":""舒耐抑汗走珠"",""商品编号"":""283817"",""商品毛重"":""80.00g"",""商品产地"":""菲律宾"",""功效"":""爽肤，其它"",""香型"":""清香型"",""性别"":""通用"",""适用人群"":""成人"",""分类"":""其它"",""品牌"":""舒耐""}",1.0,2016/09/06 09:39:18.097,满减:满199.00减100.00,2016-08-31,其它,0,6867.0,0.0,6958.0,156.0,54.0,97.0,0.0,舒耐抑汗走珠,1,1.0,0.0,0.0,0.0,舒耐,REXONA,283817,15.0,0.0,0.0,0.0,0,0.0,"""香型"":""清香型""",428.0,"""商品名称"":""舒耐抑汗走珠""",1,"""商品毛重"":""80.00g""",25,"""功效"":""爽肤，其它""",61.0,"""商品产地"":""菲律宾""",8,"""适用人群"":""成人""",700.0,"""性别"":""通用""",2562.0,0.0,0.0,1.0,2.0,15.0,4.0,38.0,89.0
290445,4967.75,3156.0,294.0,520.0,547.0,423.0,306.0,DOVE BODY CARE/多芬 身体护理,16.4,False,0.0,0.0,0.0,0.0,0.0,0.0,5878,93,106656.0,449,357,1,1,1.0,A99454B721F14F7A360CA20566D3A1E9,30010303,"1316,1383,1401",【京东超市】多芬(DOVE)滋养美肤沐浴乳 轻柔活肤200ml,"{""商品名称"":""多芬轻柔活肤滋养美肤沐浴乳200ml"",""商品编号"":""290445"",""商品毛重"":""230.00g"",""商品产地"":""合肥"",""功效"":""滋养"",""香型"":""清香型"",""净含量"":""200-499ml（g）"",""性别"":""通用"",""适用人群"":""成人"",""分类"":""沐浴乳/露"",""品牌"":""多芬（Dove）""}",1.0,2016/09/06 07:35:14.427,满减:满199.00减100.00,2016-08-31,沐浴乳 露,0,2740.0,0.0,3113.0,34.0,9.0,99.0,0.0,多芬轻柔活肤滋养美肤沐浴乳200ml,1,0.0,0.0,0.0,0.0,多芬,DOVE,290445,6.0,10.0,5.0,11.0,"""净含量"":""200-499ml（g）""",2529.0,"""香型"":""清香型""",2895.0,"""商品名称"":""多芬轻柔活肤滋养美肤沐浴乳200ml""",1,"""商品毛重"":""230.00g""",39,"""功效"":""滋养""",1474.0,"""商品产地"":""合肥""",151,"""适用人群"":""成人""",2126.0,"""性别"":""通用""",4874.0,2.0,0.0,0.0,1.0,41.0,54.0,2.0,1.0
290446,6844.357143,26112.0,186.0,231.0,283.0,256.0,266.0,DOVE BODY CARE/多芬 身体护理,16.4,False,0.0,55.0,62.0,62.0,81.0,113.0,5878,93,106656.0,449,357,1,1,1.0,2DF69912CB815FFC291236152D381F69,30010303,"1316,1383,1401",【京东超市】多芬(DOVE)滋养美肤沐浴乳 深层营润200ml(沐浴露),"{""商品名称"":""多芬深层营润滋养美肤沐浴乳200ml"",""商品编号"":""290446"",""商品毛重"":""220.00g"",""商品产地"":""合肥"",""功效"":""补水/保湿，滋养"",""香型"":""清香型"",""净含量"":""200-499ml（g）"",""性别"":""通用"",""分类"":""沐浴乳/露"",""品牌"":""多芬（Dove）""}",1.0,2016/09/06 07:42:07.497,满减:满199.00减100.00,2016-08-31,沐浴乳 露,0,2740.0,0.0,25597.0,326.0,189.0,98.0,0.0,多芬深层营润滋养美肤沐浴乳200ml,1,0.0,0.0,0.0,1.0,多芬,DOVE,290446,6.0,10.0,5.0,11.0,"""净含量"":""200-499ml（g）""",2529.0,"""香型"":""清香型""",2895.0,"""商品名称"":""多芬深层营润滋养美肤沐浴乳200ml""",1,"""商品毛重"":""220.00g""",6,"""功效"":""补水/保湿，滋养""",383.0,"""商品产地"":""合肥""",151,0,0.0,"""性别"":""通用""",4874.0,2.0,0.0,0.0,0.0,15.0,54.0,0.0,1.0
290454,1464.75,21903.0,101.0,137.0,416.0,133.0,241.0,DOVE BODY CARE/多芬 身体护理,60.93,False,0.0,0.0,0.0,0.0,0.0,0.0,5878,93,106656.0,449,357,1,1,1.0,2224D04FB943664BBEE6B9959C99A7F6,30010303,"1316,1383,1401",【京东超市】多芬(DOVE)滋养美肤沐浴乳 轻柔活肤1L,"{""商品名称"":""多芬轻柔活肤滋养美肤沐浴乳1000ml"",""商品编号"":""290454"",""商品毛重"":""1.1kg"",""商品产地"":""合肥"",""功效"":""补水/保湿，滋养"",""香型"":""清香型"",""净含量"":""1L及以上"",""性别"":""通用"",""分类"":""沐浴乳/露"",""品牌"":""多芬（Dove）""}",1.0,2016/09/06 07:33:48.843,满减:满199.00减100.00,2016-08-31,沐浴乳 露,0,2740.0,0.0,21363.0,384.0,156.0,97.0,0.0,多芬轻柔活肤滋养美肤沐浴乳1000ml,1,0.0,1.0,0.0,0.0,多芬,DOVE,290454,6.0,10.0,5.0,11.0,"""净含量"":""1L及以上""",845.0,"""香型"":""清香型""",2895.0,"""商品名称"":""多芬轻柔活肤滋养美肤沐浴乳1000ml""",1,"""商品毛重"":""1.1kg""",63,"""功效"":""补水/保湿，滋养""",383.0,"""商品产地"":""合肥""",151,0,0.0,"""性别"":""通用""",4874.0,0.0,0.0,1.0,1.0,15.0,54.0,0.0,1.0
290461,11374.785714,5107.0,3.0,4.0,7.0,17.0,21.0,DOVE BODY CARE/多芬 身体护理,18.6,False,0.0,602.0,625.0,660.0,744.0,872.0,1014,14,8755.0,449,137,1,1,1.0,8EB9AB14C9D869C0158DE1B89A35DDCB,30010303,"1316,1383,1401",【京东超市】多芬(DOVE)香块 柔肤乳霜(100gx3)(香皂）,"{""商品名称"":""多芬柔肤乳霜香块100g*3"",""商品编号"":""290461"",""商品毛重"":""330.00g"",""商品产地"":""德国"",""功效"":""补水/保湿，滋养"",""香型"":""清香型"",""净含量"":""200-499ml（g）"",""性别"":""通用"",""分类"":""沐浴乳/露，其它"",""品牌"":""多芬（Dove）""}",1.0,2016/09/06 07:33:52.460,满减:满199.00减100.00,2016-08-31,其它,0,2740.0,0.0,5031.0,45.0,31.0,98.0,0.0,多芬柔肤乳霜香块100g*3,1,1.0,0.0,0.0,0.0,多芬,DOVE,290461,3.0,0.0,0.0,0.0,"""净含量"":""200-499ml（g）""",213.0,"""香型"":""清香型""",149.0,"""商品名称"":""多芬柔肤乳霜香块100g*3""",1,"""商品毛重"":""330.00g""",1,"""功效"":""补水/保湿，滋养""",24.0,"""商品产地"":""德国""",13,0,0.0,"""性别"":""通用""",826.0,1.0,0.0,1.0,1.0,9.0,5.0,0.0,0.0
293802,3374.571429,7248.0,556.0,456.0,600.0,556.0,569.0,LUX SHAMPOO/力士 洗发,16.4,False,0.0,97.0,103.0,114.0,140.0,206.0,1257,1,9739.0,449,179,1,1,1.0,2F0D20DDAF9D80814F720C87F1D5A9D9,30010202,"1316,1386,11922",【京东超市】力士(LUX)洗发乳 水润丝滑200ml(洗发水),"{""商品名称"":""力士洗发乳"",""商品编号"":""293802"",""商品毛重"":""240.00g"",""商品产地"":""合肥"",""功效"":""柔顺/滋养，补水/保湿"",""净含量"":""200mL以下"",""性别"":""通用"",""适用人群"":""成人"",""适合发质"":""所有发质"",""品牌"":""力士（LUX）""}",1.0,2016/09/06 13:09:27.170,限制:此价格不与套装优惠同时享受,2016-08-31,null,0,1848.0,0.0,7002.0,202.0,44.0,96.0,0.0,力士洗发乳,8,1.0,1.0,0.0,1.0,力士,LUX,293802,3.0,2.0,0.0,1.0,"""净含量"":""200mL以下""",538.0,0,0.0,"""商品名称"":""力士洗发乳""",8,"""商品毛重"":""240.00g""",104,"""功效"":""柔顺/滋养，补水/保湿""",127.0,"""商品产地"":""合肥""",116,"""适用人群"":""成人""",2121.0,"""性别"":""通用""",6386.0,11.0,0.0,2.0,11.0,11.0,21.0,60.0,132.0
293810,7574.071428,93903.0,50.0,64.0,64.0,64.0,66.0,LUX SHAMPOO/力士 洗发,38.0,False,0.0,343.0,386.0,438.0,511.0,701.0,12168,24,190422.0,449,483,0,1,1.0,1FA52FD158F831321B159E50A6718507,30010202,"1316,1386,11922",【京东超市】力士(LUX)洗发乳 水润丝滑750ml(洗发水),"{""商品名称"":""力士洗发乳"",""商品编号"":""293810"",""商品毛重"":""0.84kg"",""商品产地"":""合肥"",""功效"":""柔顺/滋养，补水/保湿"",""净含量"":""750ml-1L"",""性别"":""通用"",""适用人群"":""成人"",""适合发质"":""所有发质"",""品牌"":""力士（LUX）""}",1.0,2016/09/06 13:21:18.690,限制:此价格不与套装优惠同时享受,2016-08-31,null,True,1848.0,0.0,91718.0,1565.0,620.0,97.0,0.0,力士洗发乳,8,1.0,1.0,0.0,1.0,力士,LUX,293810,3.0,2.0,0.0,1.0,"""净含量"":""750ml-1L""",1020.0,0,0.0,"""商品名称"":""力士洗发乳""",8,"""商品毛重"":""0.84kg""",45,"""功效"":""柔顺/滋养，补水/保湿""",127.0,"""商品产地"":""合肥""",116,"""适用人群"":""成人""",2121.0,"""性别"":""通用""",6386.0,28.0,0.0,2.0,13.0,11.0,21.0,60.0,132.0
293859,1497.964286,5226.0,419.0,398.0,399.0,358.0,271.0,LUX SHAMPOO/力士 洗发,23.6,False,0.0,168.0,178.0,191.0,230.0,340.0,12168,24,190422.0,449,483,0,1,1.0,7885C3AEC51D86F89195B6D09C052180,30010202,"1316,1386,11922",【京东超市】力士(LUX)洗发乳 新活炫亮400ml(洗发水),"{""商品名称"":""力士洗发乳"",""商品编号"":""293859"",""商品毛重"":""410.00g"",""商品产地"":""合肥"",""功效"":""柔顺/滋养，补水/保湿"",""净含量"":""201-400ml"",""性别"":""通用"",""适用人群"":""成人"",""适合发质"":""所有发质"",""品牌"":""力士（LUX）""}",1.0,2016/09/06 13:14:05.290,限制:此价格不与套装优惠同时享受,2016-08-31,null,True,1848.0,0.0,5118.0,86.0,22.0,98.0,0.0,力士洗发乳,8,1.0,1.0,0.0,1.0,力士,LUX,293859,3.0,2.0,0.0,1.0,"""净含量"":""201-400ml""",1658.0,0,0.0,"""商品名称"":""力士洗发乳""",8,"""商品毛重"":""410.00g""",5,"""功效"":""柔顺/滋养，补水/保湿""",127.0,"""商品产地"":""合肥""",116,"""适用人群"":""成人""",2121.0,"""性别"":""通用""",6386.0,33.0,0.0,2.0,0.0,11.0,21.0,60.0,132.0
293863,7916.214285,0.0,67.0,83.0,152.0,81.0,92.0,LUX SHAMPOO/力士 洗发,60.4,0,0.0,323.0,348.0,391.0,463.0,659.0,12168,24,190422.0,449,483,0,0,1.0,FA1B0CC5F5E02EE7F9E3241229DE1364,30010202,"1316,1386,11922",【京东超市】力士(LUX)洗发乳 新活炫亮750ml(洗发水),"{""商品名称"":""力士洗发乳"",""商品编号"":""293863"",""商品毛重"":""0.84kg"",""商品产地"":""合肥"",""功效"":""柔顺/滋养，补水/保湿"",""净含量"":""750ml-1L"",""性别"":""通用"",""适用人群"":""成人"",""适合发质"":""所有发质"",""品牌"":""力士（LUX）""}",1.0,2016/09/06 13:15:54.257,满减:满199.00减100.00,2016-08-31,null,True,1848.0,0.0,55425.0,916.0,356.0,97.0,0.0,力士洗发乳,8,1.0,1.0,0.0,1.0,力士,LUX,293863,3.0,2.0,0.0,1.0,"""净含量"":""750ml-1L""",1020.0,0,0.0,"""商品名称"":""力士洗发乳""",8,"""商品毛重"":""0.84kg""",45,"""功效"":""柔顺/滋养，补水/保湿""",127.0,"""商品产地"":""合肥""",116,"""适用人群"":""成人""",2121.0,"""性别"":""通用""",6386.0,28.0,0.0,2.0,13.0,11.0,21.0,60.0,132.0
1530719,187.107143,584.0,1912.0,1678.0,1572.0,1806.0,1225.0,LUX SHAMPOO/力士 洗发,16.4,False,0.0,43.0,47.0,49.0,62.0,74.0,12168,24,190422.0,449,483,1,1,1.0,E1AD7BABE70D258EF53A18BE885873F4,30010202,"1316,1386,11922",【京东超市】力士(LUX)洗发乳 菁油臻润180ml(洗发水),"{""商品名称"":""力士洗发乳"",""商品编号"":""1530719"",""商品毛重"":""220.00g"",""商品产地"":""合肥"",""功效"":""柔顺/滋养，补水/保湿"",""净含量"":""200mL以下"",""性别"":""通用"",""适用人群"":""成人"",""适合发质"":""所有发质"",""品牌"":""力士（LUX）""}",1.0,2016/09/06 12:57:14.900,限制:此价格不与套装优惠同时享受,2016-08-31,null,0,1848.0,0.0,576.0,6.0,2.0,99.0,0.0,力士洗发乳,8,1.0,1.0,0.0,1.0,力士,LUX,1530719,3.0,2.0,0.0,1.0,"""净含量"":""200mL以下""",538.0,0,0.0,"""商品名称"":""力士洗发乳""",8,"""商品毛重"":""220.00g""",19,"""功效"":""柔顺/滋养，补水/保湿""",127.0,"""商品产地"":""合肥""",116,"""适用人群"":""成人""",2121.0,"""性别"":""通用""",6386.0,11.0,0.0,2.0,0.0,11.0,21.0,60.0,132.0
