egoodsid,q30,allcomments,rank,rank7,rank14,rank30,rank60,brandtag,currentprice,allcommentschange,c1,c26,c28,c30,c34,c45,agg1,agg2,agg3,agg4,agg5,agg7,agg8,is_promo,goodsid,categoryid,ecatid,goodsname,goodsattribute,goodsstatus,updatetime,promotioninfo,crawlerdate,fenlei,is_in_stock,platform_brand_key,master_brand_key,positive_comment_num,medium_comment_num,negative_comment_num,rating_score,goods_inventory,shangpinmingcheng,agg17,agg13,agg14,agg15,agg16,Brand_CN,Brand_EN,JD_Code,agg9,agg10,agg11,agg12,feat01,featagg01,feat02,featagg02,feat03,featagg03,feat04,featagg04,feat05,featagg05,feat06,featagg06,feat07,featagg07,feat08,featagg08,featagg013,featagg023,featagg033,featagg043,featagg053,featagg063,featagg073,featagg083,CLEAR,DOVE,HAZELINE,LIFEBUOY,LUX,LYNX,POND'S,REXONA,VASELINE,ZHONGHUA,性别女,性别男,性别通用,吸烟人群,成人,所有人群,普通人群,儿童,孕妇,奶香型,无香型,水果香型,清香型,花香型
283817,1820.142857,7168,19,25,21,21,25,REXONA/舒耐,25,FALSE,0,359,388,421,482,665,2672,18,18163,449,350,1,1,1,AF3ED7DDE018FD35993D13E5BD3AB0AD,30010302,"131,613,831,404",【京东超市】舒耐(REXONA)男士抑汗清新走珠乳液 酷爽冰激40ml(新老包装随机发放),"{""商品名称"":""舒耐抑汗走珠"",""商品编号"":""283817"",""商品毛重"":""80.00g"",""商品产地"":""菲律宾"",""功效"":""爽肤，其它"",""香型"":""清香型"",""性别"":""通用"",""适用人群"":""成人"",""分类"":""其它"",""品牌"":""舒耐""}",1,39:18.1,满减:满199.00减100.00,2016/8/31,其它,0,6867,0,6958,156,54,97,0,舒耐抑汗走珠,1,1,0,0,0,舒耐,REXONA,283817,15,0,0,0,0,0,"""香型"":""清香型""",428,"""商品名称"":""舒耐抑汗走珠""",1,"""商品毛重"":""80.00g""",25,"""功效"":""爽肤，其它""",61,"""商品产地"":""菲律宾""",8,"""适用人群"":""成人""",700,"""性别"":""通用""",2562,0,0,1,2,15,4,38,89,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
290445,4967.75,3156,294,520,547,423,306,DOVE BODY CARE/多芬 身体护理,16.4,FALSE,0,0,0,0,0,0,5878,93,106656,449,357,1,1,1,A99454B721F14F7A360CA20566D3A1E9,30010303,"131,613,831,401",【京东超市】多芬(DOVE)滋养美肤沐浴乳 轻柔活肤200ml,"{""商品名称"":""多芬轻柔活肤滋养美肤沐浴乳200ml"",""商品编号"":""290445"",""商品毛重"":""230.00g"",""商品产地"":""合肥"",""功效"":""滋养"",""香型"":""清香型"",""净含量"":""200-499ml（g）"",""性别"":""通用"",""适用人群"":""成人"",""分类"":""沐浴乳/露"",""品牌"":""多芬（Dove）""}",1,35:14.4,满减:满199.00减100.00,2016/8/31,沐浴乳 露,0,2740,0,3113,34,9,99,0,多芬轻柔活肤滋养美肤沐浴乳200ml,1,0,0,0,0,多芬,DOVE,290445,6,10,5,11,"""净含量"":""200-499ml（g）""",2529,"""香型"":""清香型""",2895,"""商品名称"":""多芬轻柔活肤滋养美肤沐浴乳200ml""",1,"""商品毛重"":""230.00g""",39,"""功效"":""滋养""",1474,"""商品产地"":""合肥""",151,"""适用人群"":""成人""",2126,"""性别"":""通用""",4874,2,0,0,1,41,54,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
290446,6844.357143,26112,186,231,283,256,266,DOVE BODY CARE/多芬 身体护理,16.4,FALSE,0,55,62,62,81,113,5878,93,106656,449,357,1,1,1,2DF69912CB815FFC291236152D381F69,30010303,"131,613,831,401",【京东超市】多芬(DOVE)滋养美肤沐浴乳 深层营润200ml(沐浴露),"{""商品名称"":""多芬深层营润滋养美肤沐浴乳200ml"",""商品编号"":""290446"",""商品毛重"":""220.00g"",""商品产地"":""合肥"",""功效"":""补水/保湿，滋养"",""香型"":""清香型"",""净含量"":""200-499ml（g）"",""性别"":""通用"",""分类"":""沐浴乳/露"",""品牌"":""多芬（Dove）""}",1,42:07.5,满减:满199.00减100.00,2016/8/31,沐浴乳 露,0,2740,0,25597,326,189,98,0,多芬深层营润滋养美肤沐浴乳200ml,1,0,0,0,1,多芬,DOVE,290446,6,10,5,11,"""净含量"":""200-499ml（g）""",2529,"""香型"":""清香型""",2895,"""商品名称"":""多芬深层营润滋养美肤沐浴乳200ml""",1,"""商品毛重"":""220.00g""",6,"""功效"":""补水/保湿，滋养""",383,"""商品产地"":""合肥""",151,0,0,"""性别"":""通用""",4874,2,0,0,0,15,54,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
290454,1464.75,21903,101,137,416,133,241,DOVE BODY CARE/多芬 身体护理,60.93,FALSE,0,0,0,0,0,0,5878,93,106656,449,357,1,1,1,2224D04FB943664BBEE6B9959C99A7F6,30010303,"131,613,831,401",【京东超市】多芬(DOVE)滋养美肤沐浴乳 轻柔活肤1L,"{""商品名称"":""多芬轻柔活肤滋养美肤沐浴乳1000ml"",""商品编号"":""290454"",""商品毛重"":""1.1kg"",""商品产地"":""合肥"",""功效"":""补水/保湿，滋养"",""香型"":""清香型"",""净含量"":""1L及以上"",""性别"":""通用"",""分类"":""沐浴乳/露"",""品牌"":""多芬（Dove）""}",1,33:48.8,满减:满199.00减100.00,2016/8/31,沐浴乳 露,0,2740,0,21363,384,156,97,0,多芬轻柔活肤滋养美肤沐浴乳1000ml,1,0,1,0,0,多芬,DOVE,290454,6,10,5,11,"""净含量"":""1L及以上""",845,"""香型"":""清香型""",2895,"""商品名称"":""多芬轻柔活肤滋养美肤沐浴乳1000ml""",1,"""商品毛重"":""1.1kg""",63,"""功效"":""补水/保湿，滋养""",383,"""商品产地"":""合肥""",151,0,0,"""性别"":""通用""",4874,0,0,1,1,15,54,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
290461,11374.78571,5107,3,4,7,17,21,DOVE BODY CARE/多芬 身体护理,18.6,FALSE,0,602,625,660,744,872,1014,14,8755,449,137,1,1,1,8EB9AB14C9D869C0158DE1B89A35DDCB,30010303,"131,613,831,401",【京东超市】多芬(DOVE)香块 柔肤乳霜(100gx3)(香皂）,"{""商品名称"":""多芬柔肤乳霜香块100g*3"",""商品编号"":""290461"",""商品毛重"":""330.00g"",""商品产地"":""德国"",""功效"":""补水/保湿，滋养"",""香型"":""清香型"",""净含量"":""200-499ml（g）"",""性别"":""通用"",""分类"":""沐浴乳/露，其它"",""品牌"":""多芬（Dove）""}",1,33:52.5,满减:满199.00减100.00,2016/8/31,其它,0,2740,0,5031,45,31,98,0,多芬柔肤乳霜香块100g*3,1,1,0,0,0,多芬,DOVE,290461,3,0,0,0,"""净含量"":""200-499ml（g）""",213,"""香型"":""清香型""",149,"""商品名称"":""多芬柔肤乳霜香块100g*3""",1,"""商品毛重"":""330.00g""",1,"""功效"":""补水/保湿，滋养""",24,"""商品产地"":""德国""",13,0,0,"""性别"":""通用""",826,1,0,1,1,9,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
293802,3374.571429,7248,556,456,600,556,569,LUX SHAMPOO/力士 洗发,16.4,FALSE,0,97,103,114,140,206,1257,1,9739,449,179,1,1,1,2F0D20DDAF9D80814F720C87F1D5A9D9,30010202,"1,316,138,611,922",【京东超市】力士(LUX)洗发乳 水润丝滑200ml(洗发水),"{""商品名称"":""力士洗发乳"",""商品编号"":""293802"",""商品毛重"":""240.00g"",""商品产地"":""合肥"",""功效"":""柔顺/滋养，补水/保湿"",""净含量"":""200mL以下"",""性别"":""通用"",""适用人群"":""成人"",""适合发质"":""所有发质"",""品牌"":""力士（LUX）""}",1,09:27.2,限制:此价格不与套装优惠同时享受,2016/8/31,null,0,1848,0,7002,202,44,96,0,力士洗发乳,8,1,1,0,1,力士,LUX,293802,3,2,0,1,"""净含量"":""200mL以下""",538,0,0,"""商品名称"":""力士洗发乳""",8,"""商品毛重"":""240.00g""",104,"""功效"":""柔顺/滋养，补水/保湿""",127,"""商品产地"":""合肥""",116,"""适用人群"":""成人""",2121,"""性别"":""通用""",6386,11,0,2,11,11,21,60,132,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
293810,7574.071428,93903,50,64,64,64,66,LUX SHAMPOO/力士 洗发,38,FALSE,0,343,386,438,511,701,12168,24,190422,449,483,0,1,1,1FA52FD158F831321B159E50A6718507,30010202,"1,316,138,611,922",【京东超市】力士(LUX)洗发乳 水润丝滑750ml(洗发水),"{""商品名称"":""力士洗发乳"",""商品编号"":""293810"",""商品毛重"":""0.84kg"",""商品产地"":""合肥"",""功效"":""柔顺/滋养，补水/保湿"",""净含量"":""750ml-1L"",""性别"":""通用"",""适用人群"":""成人"",""适合发质"":""所有发质"",""品牌"":""力士（LUX）""}",1,21:18.7,限制:此价格不与套装优惠同时享受,2016/8/31,null,TRUE,1848,0,91718,1565,620,97,0,力士洗发乳,8,1,1,0,1,力士,LUX,293810,3,2,0,1,"""净含量"":""750ml-1L""",1020,0,0,"""商品名称"":""力士洗发乳""",8,"""商品毛重"":""0.84kg""",45,"""功效"":""柔顺/滋养，补水/保湿""",127,"""商品产地"":""合肥""",116,"""适用人群"":""成人""",2121,"""性别"":""通用""",6386,28,0,2,13,11,21,60,132,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
293859,1497.964286,5226,419,398,399,358,271,LUX SHAMPOO/力士 洗发,23.6,FALSE,0,168,178,191,230,340,12168,24,190422,449,483,0,1,1,7885C3AEC51D86F89195B6D09C052180,30010202,"1,316,138,611,922",【京东超市】力士(LUX)洗发乳 新活炫亮400ml(洗发水),"{""商品名称"":""力士洗发乳"",""商品编号"":""293859"",""商品毛重"":""410.00g"",""商品产地"":""合肥"",""功效"":""柔顺/滋养，补水/保湿"",""净含量"":""201-400ml"",""性别"":""通用"",""适用人群"":""成人"",""适合发质"":""所有发质"",""品牌"":""力士（LUX）""}",1,14:05.3,限制:此价格不与套装优惠同时享受,2016/8/31,null,TRUE,1848,0,5118,86,22,98,0,力士洗发乳,8,1,1,0,1,力士,LUX,293859,3,2,0,1,"""净含量"":""201-400ml""",1658,0,0,"""商品名称"":""力士洗发乳""",8,"""商品毛重"":""410.00g""",5,"""功效"":""柔顺/滋养，补水/保湿""",127,"""商品产地"":""合肥""",116,"""适用人群"":""成人""",2121,"""性别"":""通用""",6386,33,0,2,0,11,21,60,132,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
293863,7916.214285,0,67,83,152,81,92,LUX SHAMPOO/力士 洗发,60.4,0,0,323,348,391,463,659,12168,24,190422,449,483,0,0,1,FA1B0CC5F5E02EE7F9E3241229DE1364,30010202,"1,316,138,611,922",【京东超市】力士(LUX)洗发乳 新活炫亮750ml(洗发水),"{""商品名称"":""力士洗发乳"",""商品编号"":""293863"",""商品毛重"":""0.84kg"",""商品产地"":""合肥"",""功效"":""柔顺/滋养，补水/保湿"",""净含量"":""750ml-1L"",""性别"":""通用"",""适用人群"":""成人"",""适合发质"":""所有发质"",""品牌"":""力士（LUX）""}",1,15:54.3,满减:满199.00减100.00,2016/8/31,null,TRUE,1848,0,55425,916,356,97,0,力士洗发乳,8,1,1,0,1,力士,LUX,293863,3,2,0,1,"""净含量"":""750ml-1L""",1020,0,0,"""商品名称"":""力士洗发乳""",8,"""商品毛重"":""0.84kg""",45,"""功效"":""柔顺/滋养，补水/保湿""",127,"""商品产地"":""合肥""",116,"""适用人群"":""成人""",2121,"""性别"":""通用""",6386,28,0,2,13,11,21,60,132,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1530719,187.107143,584,1912,1678,1572,1806,1225,LUX SHAMPOO/力士 洗发,16.4,FALSE,0,43,47,49,62,74,12168,24,190422,449,483,1,1,1,E1AD7BABE70D258EF53A18BE885873F4,30010202,"1,316,138,611,922",【京东超市】力士(LUX)洗发乳 菁油臻润180ml(洗发水),"{""商品名称"":""力士洗发乳"",""商品编号"":""1530719"",""商品毛重"":""220.00g"",""商品产地"":""合肥"",""功效"":""柔顺/滋养，补水/保湿"",""净含量"":""200mL以下"",""性别"":""通用"",""适用人群"":""成人"",""适合发质"":""所有发质"",""品牌"":""力士（LUX）""}",1,57:14.9,限制:此价格不与套装优惠同时享受,2016/8/31,null,0,1848,0,576,6,2,99,0,力士洗发乳,8,1,1,0,1,力士,LUX,1530719,3,2,0,1,"""净含量"":""200mL以下""",538,0,0,"""商品名称"":""力士洗发乳""",8,"""商品毛重"":""220.00g""",19,"""功效"":""柔顺/滋养，补水/保湿""",127,"""商品产地"":""合肥""",116,"""适用人群"":""成人""",2121,"""性别"":""通用""",6386,11,0,2,0,11,21,60,132,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
